grp	N	S	n	s	dnds	fn	fs
0	24039	3184	515	74	0	21.4235201131495	23.2412060301508
1	46013	6264	869	137	0.00845	18.8859670093235	21.8710089399745
2	52131	8406	981	162	0.0215	18.8179777867296	19.271948608137
3	51008	9796	1058	199	0.0333	20.7418444165621	20.3144140465496
4	53157	10886	1036	205	0.0448	19.489436950919	18.8315267315818
5	56729	12813	1154	225	0.0569	20.3423293201008	17.5602903301335
6	52359	11910	1068	211	0.07095	20.3976393743196	17.7162048698573
7	48341	11703	992	191	0.0859	20.5208828944374	16.3206015551568
8	54113	14179	1095	209	0.1019	20.2354332600299	14.7401086113266
9	52425	14341	1030	234	0.12155	19.6471149260849	16.3168537758873
10	50179	14550	966	233	0.1415	19.2510811295562	16.0137457044674
11	52036	15505	1017	262	0.1661	19.544161734184	16.8977749113189
12	49488	15452	893	235	0.19295	18.0447785321694	15.2083872637846
13	46547	15382	813	235	0.22715	17.4662169420156	15.2775971915226
14	44015	14550	708	217	0.2667	16.0854254231512	14.914089347079
15	44552	15270	769	210	0.3153	17.2607290357335	13.7524557956778
16	39535	13888	591	167	0.3846	14.9487795624131	12.0247695852535
17	35857	13234	527	187	0.46645	14.6972697102379	14.1302705153393
18	35720	13425	534	198	0.58975	14.94960806271	14.7486033519553
19	22119	8514	394	142	0.7494	17.8127401781274	16.6784120272492
