grp	N	S	n	s	dnds	fn	fs
0	19591	2627	354	56	0.0000	18.0695217191568	21.3170917396269
1	42381	5934	638	115	0.0089	15.0539156697577	19.3798449612403
2	47866	7885	738	181	0.0216	15.4180420340116	22.9549778059607
3	48885	9402	802	202	0.0333	16.4058504653779	21.4847904701127
4	51362	10701	874	237	0.0448	17.0164713212102	22.1474628539389
5	54146	12346	958	243	0.0569	17.6929043696672	19.6824882553054
6	50508	11561	907	245	0.07115	17.9575512790053	21.191938413632
7	46795	11377	851	206	0.0861	18.1857036008121	18.1067065131405
8	53245	13994	1041	285	0.1019	19.551131561649	20.365871087609
9	51029	13983	897	274	0.12155	17.5782398244136	19.595222770507
10	49064	14437	946	273	0.1416	19.2809391814773	18.9097457920621
11	50525	15142	972	281	0.1661	19.2380009896091	18.5576542068419
12	48694	15280	973	319	0.1929	19.98192795827	20.8769633507853
13	45791	15100	990	295	0.2276	21.6199689895394	19.5364238410596
14	43592	14470	872	315	0.26655	20.0036703982382	21.7691776088459
15	43760	15062	890	286	0.3153	20.3382084095064	18.9881821803213
16	38543	13608	762	274	0.3844	19.7701268712866	20.135214579659
17	35638	13168	791	240	0.4647	22.1954093944666	18.2260024301337
18	35042	13208	731	266	0.5892	20.8606814679527	20.1393095093882
19	21123	8168	461	174	0.74325	21.8245514368224	21.3026444662096
