grp	dnds	nlvl	slvl
0	0.0000	11038.7792563	1193.5355527
1	0.0086	18103.8753113	2121.7603824
2	0.0215	21812.9318526	2888.7019187
3	0.0333	23653.5508294	3528.9023313
4	0.0448	22615.2689569	3944.3645601
5	0.0569	27098.2931375	3674.3841799
6	0.07095	25846.0077534	3504.9291078
7	0.0859	23968.8944808	3306.4525561
8	0.1019	26757.0889561	3925.9544134
9	0.12155	24253.355721	4590.5686067
10	0.1415	22345.950765	4245.27139
11	0.1661	26386.5405562	5522.4683914
12	0.1929	22373.6380502	4603.5734985
13	0.2270	18696.7323784	4692.9685623
14	0.2667	16467.143593	4772.6041637
15	0.3153	18211.2346291	4425.0822278
16	0.38455	14232.5116173	3576.4770329
17	0.4661	11848.7653988	4212.125587
18	0.58975	12850.6778144	4052.1239513
19	0.7494	10073.0269009	3669.9584557
