K2E	S2G	N2D	R2G	Y2C	I2V	T2A	M2V	I2M	K2R	Q2R	E2G	H2R	N2S	D2G	*2W	*2*	L2L	V2V	Q2Q	P2P	S2S	E2E	T2T	A2A	R2R	K2K	G2G	
3401	3151	2801	3016	2536	1348	814	784	1014	617	535	179	155	190	56	0	0	4240	1015	128	127	102	76	72	56	40	63	10	
3397	3172	2786	3012	2409	1370	817	848	1029	612	539	173	138	209	59	0	0	4255	1007	132	133	100	76	66	70	30	73	14	
3426	3163	2781	3040	2508	1365	874	788	949	632	576	160	138	206	69	0	0	4158	1019	128	150	95	80	66	59	33	46	17	
3371	3174	2786	3025	2480	1366	823	806	999	621	595	169	164	199	55	0	0	4193	1023	129	136	85	67	66	72	37	70	15	
3336	3191	2780	3032	2509	1330	828	790	1003	636	537	180	153	201	73	0	0	4212	1016	129	150	116	91	70	58	36	57	12	
3362	3138	2799	3076	2473	1422	818	819	977	617	552	176	144	203	63	0	0	4204	1025	123	130	99	79	73	51	28	59	16	
3380	3190	2770	3035	2521	1353	804	802	1012	613	570	178	162	200	62	0	0	4194	1003	130	141	99	74	66	57	35	61	14	
3385	3124	2769	3013	2520	1389	840	804	1020	615	555	193	145	208	62	0	0	4186	1038	120	129	97	73	80	59	31	58	13	
3344	3135	2811	2998	2552	1389	810	799	1004	634	573	190	156	208	57	0	0	4202	1018	119	129	103	68	75	56	35	50	11	
3351	3200	2759	3045	2514	1359	812	799	1009	607	546	175	154	202	70	0	0	4212	1011	125	135	87	78	78	63	36	86	13	
3319	3161	2784	3049	2547	1344	829	783	1010	629	562	170	158	204	60	0	0	4197	1037	134	149	84	74	72	58	32	70	10	
3389	3167	2777	3012	2475	1343	858	817	990	620	558	181	162	202	62	0	0	4235	1014	124	133	100	72	85	53	20	64	13	
3344	3183	2799	3033	2468	1392	867	824	1040	606	551	181	146	199	63	0	0	4142	1001	127	127	105	89	69	65	35	61	9	
3419	3197	2790	3017	2509	1371	837	778	996	590	515	179	162	205	66	0	0	4199	1026	139	139	96	59	75	60	25	65	12	
3377	3199	2771	3058	2457	1354	857	825	1009	604	524	182	160	202	57	0	0	4170	1036	123	142	98	80	77	58	33	62	11	
3417	3163	2761	3091	2492	1387	858	806	986	592	567	171	156	193	57	0	0	4141	1006	140	141	98	71	63	55	37	67	10	
3349	3144	2785	3039	2516	1355	828	781	1011	600	581	188	165	204	66	0	0	4239	1050	122	117	100	67	51	61	38	61	8	
3381	3149	2768	3013	2489	1375	828	822	1003	635	597	173	134	200	65	0	0	4220	1019	123	121	110	75	81	51	27	59	8	
3408	3161	2818	3035	2423	1390	833	834	996	594	547	181	138	184	66	0	0	4181	1026	132	136	126	68	73	64	30	71	11	
3356	3113	2723	3037	2522	1412	820	797	1010	625	571	194	140	199	62	0	0	4240	1019	139	139	103	75	70	57	34	57	12	
3344	3141	2784	3020	2464	1372	832	829	1024	580	570	188	157	203	53	0	0	4240	1030	138	135	98	86	79	50	28	65	16	
3354	3159	2776	3020	2460	1396	851	857	1008	641	580	184	169	195	61	0	0	4182	1003	115	139	98	78	59	49	21	61	10	
3368	3109	2775	3014	2528	1390	815	812	1020	612	569	179	156	211	60	0	0	4237	1007	124	136	90	71	76	55	32	65	15	
3377	3149	2774	3032	2507	1316	870	811	1016	634	544	191	160	198	48	0	0	4185	1017	143	135	106	81	67	57	37	56	15	
3387	3191	2759	3062	2467	1336	874	819	1006	621	542	178	155	192	70	0	0	4201	1026	142	135	84	73	73	51	29	44	9	
3405	3113	2746	3050	2483	1375	819	821	1004	601	567	184	162	188	63	0	0	4228	1023	130	145	101	87	61	57	37	65	11	
3349	3184	2774	3071	2439	1378	853	823	975	609	557	182	141	189	54	0	0	4261	1002	142	137	84	78	73	52	27	78	14	
3358	3165	2834	3034	2485	1363	860	804	980	643	564	177	160	193	64	0	0	4201	1016	122	116	108	68	65	50	24	59	13	
3383	3109	2757	3055	2537	1380	832	775	1008	630	590	184	161	210	60	0	0	4153	1040	131	124	94	70	76	53	33	67	14	
3398	3130	2787	3025	2530	1346	834	841	991	602	604	194	142	199	55	0	0	4166	1036	129	131	82	84	69	42	31	68	10	
3387	3140	2730	2979	2484	1414	845	820	1036	614	563	185	153	191	56	0	0	4176	1042	146	136	86	81	86	62	42	66	6	
3389	3152	2771	3040	2513	1325	803	819	1002	610	580	178	165	198	68	0	0	4200	1072	108	129	93	81	63	54	28	67	18	
3377	3127	2760	2996	2549	1363	833	817	1002	615	566	180	145	184	56	0	0	4231	1042	136	127	98	80	67	57	35	68	15	
3385	3154	2725	2984	2495	1392	828	836	1021	610	554	171	140	204	53	0	0	4229	1013	136	154	104	83	71	62	41	69	12	
3353	3131	2778	2984	2467	1349	857	831	1011	636	571	175	154	197	62	0	0	4286	1038	132	136	84	74	70	51	32	56	11	
3359	3121	2788	3056	2510	1362	824	812	990	624	578	185	173	201	71	0	0	4210	1000	114	135	92	77	74	56	27	75	12	
3377	3192	2827	3061	2499	1381	871	813	974	622	552	193	148	205	60	0	0	4131	980	144	134	86	68	53	67	23	54	11	
3363	3181	2803	3019	2422	1372	826	817	992	629	535	169	177	206	59	0	0	4264	1009	125	129	100	84	79	56	26	67	17	
3395	3199	2751	3065	2458	1347	838	809	984	630	540	183	166	202	47	0	0	4200	1043	127	143	97	83	63	65	25	58	8	
3387	3108	2835	3027	2462	1355	812	834	994	617	557	172	159	198	65	0	0	4279	1016	126	133	104	75	54	51	27	65	14	
3381	3124	2798	2963	2455	1358	871	830	1038	606	564	177	145	205	57	0	0	4244	1041	128	135	84	76	74	53	34	71	14	
3402	3166	2773	3019	2501	1360	864	791	995	617	526	195	140	195	71	0	0	4207	1010	128	134	105	77	76	56	32	71	15	
3398	3132	2746	3038	2503	1408	791	821	1036	629	561	158	162	217	61	0	0	4217	988	137	131	87	76	70	56	32	57	14	
3361	3141	2770	3051	2442	1404	841	825	1041	622	560	186	158	211	56	0	0	4184	1003	127	140	94	82	88	45	29	53	12	
3407	3210	2800	3046	2519	1383	819	772	1000	619	532	167	174	199	67	0	0	4153	990	124	127	98	77	73	60	27	70	13	
3372	3178	2769	3027	2532	1422	818	805	1000	609	540	178	139	208	54	0	0	4172	1018	128	148	107	78	66	55	24	64	15	
3363	3185	2808	3032	2478	1375	841	826	1000	634	604	188	153	212	64	0	0	4169	973	119	122	87	70	60	68	25	57	13	
3379	3177	2759	3037	2526	1358	811	777	1047	638	557	181	153	200	68	0	0	4200	991	125	137	96	69	78	59	23	67	13	
3424	3190	2772	3000	2530	1363	831	814	1022	640	579	192	139	211	65	0	0	4099	1016	139	118	86	81	85	44	19	54	13	
3387	3134	2749	3052	2459	1383	847	820	1038	588	563	188	155	204	58	0	0	4208	1002	134	149	103	84	71	57	20	63	10	
3403	3090	2815	3023	2495	1366	846	796	992	615	571	178	151	202	67	0	0	4209	1048	117	137	99	74	70	60	21	67	14	
3378	3117	2772	3026	2539	1363	817	814	1024	611	560	165	151	203	60	0	0	4204	1026	126	142	108	77	86	53	40	52	12	
3376	3185	2805	3067	2485	1353	821	791	981	623	551	178	163	204	63	0	0	4212	1037	106	137	102	67	67	50	21	70	11	
3394	3147	2757	3023	2505	1351	839	829	1002	610	539	172	136	203	54	0	0	4250	1003	134	154	95	72	81	56	37	73	10	
3376	3155	2820	3044	2383	1409	865	858	983	618	564	172	152	204	56	0	0	4189	1035	125	123	88	78	64	57	35	59	14	
3412	3148	2795	3026	2458	1407	817	799	1031	604	605	175	157	208	62	0	0	4164	1023	133	121	94	78	64	54	32	46	13	
3361	3170	2788	3054	2448	1412	837	801	1018	611	583	180	143	213	56	0	0	4229	990	120	119	94	77	75	62	23	53	9	
3419	3126	2784	2988	2538	1346	824	788	1016	579	563	187	160	192	71	0	0	4213	1032	151	134	91	78	81	54	23	75	13	
3379	3148	2779	3054	2547	1347	814	814	1006	624	583	184	162	190	50	0	0	4138	1010	137	129	102	86	82	57	33	58	13	
3360	3189	2744	2991	2490	1355	859	807	1018	641	555	178	153	204	59	0	0	4236	1065	112	127	93	70	65	56	31	56	12	
3344	3115	2764	3055	2494	1371	849	792	975	631	585	194	145	196	69	0	0	4291	1023	125	134	96	65	66	62	25	52	8	
3359	3232	2834	3046	2538	1350	848	791	1001	604	523	183	145	209	54	0	0	4151	979	132	115	96	85	84	64	35	58	10	
3379	3139	2768	2991	2521	1342	811	798	1001	613	618	183	157	204	61	0	0	4229	1064	146	130	84	70	62	56	33	59	7	
3400	3153	2814	3027	2527	1356	818	791	942	613	577	175	153	196	66	0	0	4189	1034	132	136	90	87	76	66	31	67	10	
3381	3198	2809	3037	2464	1358	863	819	1004	613	566	194	159	202	60	0	0	4155	1009	116	127	95	72	66	63	26	60	10	
3343	3175	2763	3032	2470	1408	832	842	1016	613	583	181	145	192	63	0	0	4116	1067	136	131	99	79	65	60	22	81	12	
3347	3152	2736	3024	2485	1357	835	859	1058	621	556	184	161	204	58	0	0	4226	998	119	120	104	82	70	62	26	67	15	
3322	3168	2762	3063	2515	1343	829	808	1000	645	581	180	154	195	59	0	0	4194	1033	136	136	101	68	73	63	28	56	14	
